step,tag,value
4096,rollout/ep_len_mean,44.14285659790039
8192,rollout/ep_len_mean,46.380001068115234
12288,rollout/ep_len_mean,45.0099983215332
16384,rollout/ep_len_mean,43.84000015258789
20480,rollout/ep_len_mean,42.65999984741211
24576,rollout/ep_len_mean,42.95000076293945
28672,rollout/ep_len_mean,41.060001373291016
32768,rollout/ep_len_mean,41.0099983215332
36864,rollout/ep_len_mean,40.119998931884766
40960,rollout/ep_len_mean,38.04999923706055
45056,rollout/ep_len_mean,38.54999923706055
49152,rollout/ep_len_mean,35.709999084472656
53248,rollout/ep_len_mean,37.40999984741211
57344,rollout/ep_len_mean,31.030000686645508
61440,rollout/ep_len_mean,33.72999954223633
65536,rollout/ep_len_mean,27.860000610351562
69632,rollout/ep_len_mean,30.040000915527344
73728,rollout/ep_len_mean,22.979999542236328
77824,rollout/ep_len_mean,22.3700008392334
81920,rollout/ep_len_mean,21.110000610351562
86016,rollout/ep_len_mean,13.460000038146973
90112,rollout/ep_len_mean,11.600000381469727
94208,rollout/ep_len_mean,9.729999542236328
98304,rollout/ep_len_mean,7.039999961853027
102400,rollout/ep_len_mean,6.25
106496,rollout/ep_len_mean,5.380000114440918
110592,rollout/ep_len_mean,4.789999961853027
114688,rollout/ep_len_mean,4.329999923706055
118784,rollout/ep_len_mean,3.7699999809265137
122880,rollout/ep_len_mean,3.5899999141693115
126976,rollout/ep_len_mean,3.259999990463257
131072,rollout/ep_len_mean,3.509999990463257
135168,rollout/ep_len_mean,3.2799999713897705
139264,rollout/ep_len_mean,3.0
143360,rollout/ep_len_mean,3.0
147456,rollout/ep_len_mean,2.9800000190734863
151552,rollout/ep_len_mean,2.8299999237060547
155648,rollout/ep_len_mean,3.009999990463257
159744,rollout/ep_len_mean,2.9100000858306885
163840,rollout/ep_len_mean,2.799999952316284
167936,rollout/ep_len_mean,2.930000066757202
172032,rollout/ep_len_mean,2.799999952316284
176128,rollout/ep_len_mean,2.7899999618530273
180224,rollout/ep_len_mean,2.819999933242798
184320,rollout/ep_len_mean,2.890000104904175
188416,rollout/ep_len_mean,2.7200000286102295
192512,rollout/ep_len_mean,2.819999933242798
196608,rollout/ep_len_mean,2.8399999141693115
200704,rollout/ep_len_mean,2.7200000286102295
204800,rollout/ep_len_mean,2.859999895095825
208896,rollout/ep_len_mean,2.859999895095825
212992,rollout/ep_len_mean,2.700000047683716
217088,rollout/ep_len_mean,2.740000009536743
221184,rollout/ep_len_mean,2.7699999809265137
225280,rollout/ep_len_mean,2.740000009536743
229376,rollout/ep_len_mean,2.9000000953674316
233472,rollout/ep_len_mean,2.6700000762939453
237568,rollout/ep_len_mean,2.809999942779541
241664,rollout/ep_len_mean,2.7699999809265137
245760,rollout/ep_len_mean,2.759999990463257
249856,rollout/ep_len_mean,2.640000104904175
253952,rollout/ep_len_mean,2.7100000381469727
258048,rollout/ep_len_mean,2.7200000286102295
262144,rollout/ep_len_mean,2.6600000858306885
266240,rollout/ep_len_mean,2.75
270336,rollout/ep_len_mean,2.700000047683716
274432,rollout/ep_len_mean,2.809999942779541
278528,rollout/ep_len_mean,2.799999952316284
282624,rollout/ep_len_mean,2.8499999046325684
286720,rollout/ep_len_mean,2.6700000762939453
290816,rollout/ep_len_mean,2.700000047683716
294912,rollout/ep_len_mean,2.740000009536743
299008,rollout/ep_len_mean,2.7100000381469727
303104,rollout/ep_len_mean,2.5799999237060547
307200,rollout/ep_len_mean,2.859999895095825
4096,rollout/ep_rew_mean,-44.0
8192,rollout/ep_rew_mean,-46.2599983215332
12288,rollout/ep_rew_mean,-44.880001068115234
16384,rollout/ep_rew_mean,-43.650001525878906
20480,rollout/ep_rew_mean,-42.43000030517578
24576,rollout/ep_rew_mean,-42.72999954223633
28672,rollout/ep_rew_mean,-40.81999969482422
32768,rollout/ep_rew_mean,-40.72999954223633
36864,rollout/ep_rew_mean,-39.810001373291016
40960,rollout/ep_rew_mean,-37.68000030517578
45056,rollout/ep_rew_mean,-38.18000030517578
49152,rollout/ep_rew_mean,-35.279998779296875
53248,rollout/ep_rew_mean,-37.04999923706055
57344,rollout/ep_rew_mean,-30.420000076293945
61440,rollout/ep_rew_mean,-33.220001220703125
65536,rollout/ep_rew_mean,-27.1299991607666
69632,rollout/ep_rew_mean,-29.3700008392334
73728,rollout/ep_rew_mean,-22.149999618530273
77824,rollout/ep_rew_mean,-21.469999313354492
81920,rollout/ep_rew_mean,-20.209999084472656
86016,rollout/ep_rew_mean,-12.460000038146973
90112,rollout/ep_rew_mean,-10.609999656677246
94208,rollout/ep_rew_mean,-8.729999542236328
98304,rollout/ep_rew_mean,-6.039999961853027
102400,rollout/ep_rew_mean,-5.25
106496,rollout/ep_rew_mean,-4.380000114440918
110592,rollout/ep_rew_mean,-3.7899999618530273
114688,rollout/ep_rew_mean,-3.3299999237060547
118784,rollout/ep_rew_mean,-2.7699999809265137
122880,rollout/ep_rew_mean,-2.5899999141693115
126976,rollout/ep_rew_mean,-2.259999990463257
131072,rollout/ep_rew_mean,-2.509999990463257
135168,rollout/ep_rew_mean,-2.2799999713897705
139264,rollout/ep_rew_mean,-2.0
143360,rollout/ep_rew_mean,-2.0
147456,rollout/ep_rew_mean,-1.9800000190734863
151552,rollout/ep_rew_mean,-1.8300000429153442
155648,rollout/ep_rew_mean,-2.009999990463257
159744,rollout/ep_rew_mean,-1.909999966621399
163840,rollout/ep_rew_mean,-1.7999999523162842
167936,rollout/ep_rew_mean,-1.9299999475479126
172032,rollout/ep_rew_mean,-1.7999999523162842
176128,rollout/ep_rew_mean,-1.7899999618530273
180224,rollout/ep_rew_mean,-1.8200000524520874
184320,rollout/ep_rew_mean,-1.8899999856948853
188416,rollout/ep_rew_mean,-1.7200000286102295
192512,rollout/ep_rew_mean,-1.8200000524520874
196608,rollout/ep_rew_mean,-1.840000033378601
200704,rollout/ep_rew_mean,-1.7200000286102295
204800,rollout/ep_rew_mean,-1.8600000143051147
208896,rollout/ep_rew_mean,-1.8600000143051147
212992,rollout/ep_rew_mean,-1.7000000476837158
217088,rollout/ep_rew_mean,-1.7400000095367432
221184,rollout/ep_rew_mean,-1.7699999809265137
225280,rollout/ep_rew_mean,-1.7400000095367432
229376,rollout/ep_rew_mean,-1.899999976158142
233472,rollout/ep_rew_mean,-1.6699999570846558
237568,rollout/ep_rew_mean,-1.809999942779541
241664,rollout/ep_rew_mean,-1.7699999809265137
245760,rollout/ep_rew_mean,-1.7599999904632568
249856,rollout/ep_rew_mean,-1.6399999856948853
253952,rollout/ep_rew_mean,-1.7100000381469727
258048,rollout/ep_rew_mean,-1.7200000286102295
262144,rollout/ep_rew_mean,-1.659999966621399
266240,rollout/ep_rew_mean,-1.75
270336,rollout/ep_rew_mean,-1.7000000476837158
274432,rollout/ep_rew_mean,-1.809999942779541
278528,rollout/ep_rew_mean,-1.7999999523162842
282624,rollout/ep_rew_mean,-1.850000023841858
286720,rollout/ep_rew_mean,-1.6699999570846558
290816,rollout/ep_rew_mean,-1.7000000476837158
294912,rollout/ep_rew_mean,-1.7400000095367432
299008,rollout/ep_rew_mean,-1.7100000381469727
303104,rollout/ep_rew_mean,-1.5800000429153442
307200,rollout/ep_rew_mean,-1.8600000143051147
4096,rollout/success_rate,0.1428571492433548
8192,rollout/success_rate,0.11999999731779099
12288,rollout/success_rate,0.12999999523162842
16384,rollout/success_rate,0.1899999976158142
20480,rollout/success_rate,0.23000000417232513
24576,rollout/success_rate,0.2199999988079071
28672,rollout/success_rate,0.23999999463558197
32768,rollout/success_rate,0.2800000011920929
36864,rollout/success_rate,0.3100000023841858
40960,rollout/success_rate,0.3700000047683716
45056,rollout/success_rate,0.3700000047683716
49152,rollout/success_rate,0.4300000071525574
53248,rollout/success_rate,0.36000001430511475
57344,rollout/success_rate,0.6100000143051147
61440,rollout/success_rate,0.5099999904632568
65536,rollout/success_rate,0.7300000190734863
69632,rollout/success_rate,0.6700000166893005
73728,rollout/success_rate,0.8299999833106995
77824,rollout/success_rate,0.8999999761581421
81920,rollout/success_rate,0.8999999761581421
86016,rollout/success_rate,0.9900000095367432
90112,rollout/success_rate,0.9900000095367432
94208,rollout/success_rate,1.0
98304,rollout/success_rate,1.0
102400,rollout/success_rate,1.0
106496,rollout/success_rate,1.0
110592,rollout/success_rate,1.0
114688,rollout/success_rate,1.0
118784,rollout/success_rate,1.0
122880,rollout/success_rate,1.0
126976,rollout/success_rate,1.0
131072,rollout/success_rate,1.0
135168,rollout/success_rate,1.0
139264,rollout/success_rate,1.0
143360,rollout/success_rate,1.0
147456,rollout/success_rate,1.0
151552,rollout/success_rate,1.0
155648,rollout/success_rate,1.0
159744,rollout/success_rate,1.0
163840,rollout/success_rate,1.0
167936,rollout/success_rate,1.0
172032,rollout/success_rate,1.0
176128,rollout/success_rate,1.0
180224,rollout/success_rate,1.0
184320,rollout/success_rate,1.0
188416,rollout/success_rate,1.0
192512,rollout/success_rate,1.0
196608,rollout/success_rate,1.0
200704,rollout/success_rate,1.0
204800,rollout/success_rate,1.0
208896,rollout/success_rate,1.0
212992,rollout/success_rate,1.0
217088,rollout/success_rate,1.0
221184,rollout/success_rate,1.0
225280,rollout/success_rate,1.0
229376,rollout/success_rate,1.0
233472,rollout/success_rate,1.0
237568,rollout/success_rate,1.0
241664,rollout/success_rate,1.0
245760,rollout/success_rate,1.0
249856,rollout/success_rate,1.0
253952,rollout/success_rate,1.0
258048,rollout/success_rate,1.0
262144,rollout/success_rate,1.0
266240,rollout/success_rate,1.0
270336,rollout/success_rate,1.0
274432,rollout/success_rate,1.0
278528,rollout/success_rate,1.0
282624,rollout/success_rate,1.0
286720,rollout/success_rate,1.0
290816,rollout/success_rate,1.0
294912,rollout/success_rate,1.0
299008,rollout/success_rate,1.0
303104,rollout/success_rate,1.0
307200,rollout/success_rate,1.0
4096,time/fps,424.0
8192,time/fps,407.0
12288,time/fps,402.0
16384,time/fps,398.0
20480,time/fps,396.0
24576,time/fps,395.0
28672,time/fps,395.0
32768,time/fps,395.0
36864,time/fps,436.0
40960,time/fps,419.0
45056,time/fps,416.0
49152,time/fps,414.0
53248,time/fps,414.0
57344,time/fps,414.0
61440,time/fps,414.0
65536,time/fps,415.0
69632,time/fps,416.0
73728,time/fps,416.0
77824,time/fps,417.0
81920,time/fps,418.0
86016,time/fps,419.0
90112,time/fps,419.0
94208,time/fps,420.0
98304,time/fps,420.0
102400,time/fps,421.0
106496,time/fps,421.0
110592,time/fps,422.0
114688,time/fps,422.0
118784,time/fps,422.0
122880,time/fps,422.0
126976,time/fps,422.0
131072,time/fps,423.0
135168,time/fps,423.0
139264,time/fps,423.0
143360,time/fps,424.0
147456,time/fps,424.0
151552,time/fps,424.0
155648,time/fps,424.0
159744,time/fps,460.0
163840,time/fps,443.0
167936,time/fps,438.0
172032,time/fps,434.0
176128,time/fps,433.0
180224,time/fps,431.0
184320,time/fps,431.0
188416,time/fps,431.0
192512,time/fps,430.0
196608,time/fps,430.0
200704,time/fps,430.0
204800,time/fps,429.0
208896,time/fps,430.0
212992,time/fps,429.0
217088,time/fps,429.0
221184,time/fps,429.0
225280,time/fps,428.0
229376,time/fps,429.0
233472,time/fps,429.0
237568,time/fps,429.0
241664,time/fps,429.0
245760,time/fps,429.0
249856,time/fps,429.0
253952,time/fps,429.0
258048,time/fps,429.0
262144,time/fps,429.0
266240,time/fps,429.0
270336,time/fps,429.0
274432,time/fps,428.0
278528,time/fps,428.0
282624,time/fps,428.0
286720,time/fps,428.0
290816,time/fps,428.0
294912,time/fps,428.0
299008,time/fps,428.0
303104,time/fps,428.0
307200,time/fps,428.0
8192,train/approx_kl,0.002443232573568821
12288,train/approx_kl,0.0033195773139595985
16384,train/approx_kl,0.004547153599560261
20480,train/approx_kl,0.005211376119405031
24576,train/approx_kl,0.0030457819811999798
28672,train/approx_kl,0.006245700642466545
32768,train/approx_kl,0.008698217570781708
40960,train/approx_kl,0.006591148674488068
45056,train/approx_kl,0.005895026959478855
49152,train/approx_kl,0.006966288201510906
53248,train/approx_kl,0.005808798596262932
57344,train/approx_kl,0.007547417655587196
61440,train/approx_kl,0.005675471853464842
65536,train/approx_kl,0.006716652773320675
69632,train/approx_kl,0.006025540642440319
73728,train/approx_kl,0.007135774940252304
77824,train/approx_kl,0.007075021043419838
81920,train/approx_kl,0.010603806003928185
86016,train/approx_kl,0.012836555019021034
90112,train/approx_kl,0.016936074942350388
94208,train/approx_kl,0.01668357476592064
98304,train/approx_kl,0.019727438688278198
102400,train/approx_kl,0.02739674225449562
106496,train/approx_kl,0.023277735337615013
110592,train/approx_kl,0.03060065396130085
114688,train/approx_kl,0.02998032420873642
118784,train/approx_kl,0.02133663184940815
122880,train/approx_kl,0.026665130630135536
126976,train/approx_kl,0.023343084380030632
131072,train/approx_kl,0.01932300627231598
135168,train/approx_kl,0.018874790519475937
139264,train/approx_kl,0.013618914410471916
143360,train/approx_kl,0.014254044741392136
147456,train/approx_kl,0.01296638511121273
151552,train/approx_kl,0.01269981637597084
155648,train/approx_kl,0.012956760823726654
163840,train/approx_kl,0.010403448715806007
167936,train/approx_kl,0.010421091690659523
172032,train/approx_kl,0.009219899773597717
176128,train/approx_kl,0.013099473901093006
180224,train/approx_kl,0.012274075299501419
184320,train/approx_kl,0.013223111629486084
188416,train/approx_kl,0.008728830143809319
192512,train/approx_kl,0.014815407805144787
196608,train/approx_kl,0.008831403218209743
200704,train/approx_kl,0.009965135715901852
204800,train/approx_kl,0.008495575748383999
208896,train/approx_kl,0.009727693162858486
212992,train/approx_kl,0.013329459354281425
217088,train/approx_kl,0.008340041153132915
221184,train/approx_kl,0.007661175448447466
225280,train/approx_kl,0.01102354470640421
229376,train/approx_kl,0.012011457234621048
233472,train/approx_kl,0.012718851678073406
237568,train/approx_kl,0.009818783961236477
241664,train/approx_kl,0.012060393579304218
245760,train/approx_kl,0.0077933925203979015
249856,train/approx_kl,0.01285479124635458
253952,train/approx_kl,0.008798643946647644
258048,train/approx_kl,0.011185290291905403
262144,train/approx_kl,0.012284829281270504
266240,train/approx_kl,0.010175546631217003
270336,train/approx_kl,0.008851291611790657
274432,train/approx_kl,0.010352423414587975
278528,train/approx_kl,0.009956004098057747
282624,train/approx_kl,0.016405990347266197
286720,train/approx_kl,0.012270748615264893
290816,train/approx_kl,0.010120274499058723
294912,train/approx_kl,0.009594693779945374
299008,train/approx_kl,0.007571222260594368
303104,train/approx_kl,0.01127244159579277
307200,train/approx_kl,0.011443991214036942
8192,train/clip_fraction,0.005126953125
12288,train/clip_fraction,0.00856933556497097
16384,train/clip_fraction,0.013867187313735485
20480,train/clip_fraction,0.01662597618997097
24576,train/clip_fraction,0.011914062313735485
28672,train/clip_fraction,0.02192382887005806
32768,train/clip_fraction,0.05295410007238388
40960,train/clip_fraction,0.04331054538488388
45056,train/clip_fraction,0.03117675706744194
49152,train/clip_fraction,0.05124511569738388
53248,train/clip_fraction,0.03225097805261612
57344,train/clip_fraction,0.04038085788488388
61440,train/clip_fraction,0.042724609375
65536,train/clip_fraction,0.0479736328125
69632,train/clip_fraction,0.03676757961511612
73728,train/clip_fraction,0.04562988132238388
77824,train/clip_fraction,0.05270995944738388
81920,train/clip_fraction,0.06806640326976776
86016,train/clip_fraction,0.10676269233226776
90112,train/clip_fraction,0.11074218899011612
94208,train/clip_fraction,0.15468749403953552
98304,train/clip_fraction,0.17062988877296448
102400,train/clip_fraction,0.22944335639476776
106496,train/clip_fraction,0.2327880859375
110592,train/clip_fraction,0.26750487089157104
114688,train/clip_fraction,0.25993651151657104
118784,train/clip_fraction,0.22856445610523224
122880,train/clip_fraction,0.24956054985523224
126976,train/clip_fraction,0.22456054389476776
131072,train/clip_fraction,0.20004883408546448
135168,train/clip_fraction,0.23024901747703552
139264,train/clip_fraction,0.16672363877296448
143360,train/clip_fraction,0.16086426377296448
147456,train/clip_fraction,0.14816895127296448
151552,train/clip_fraction,0.1536865234375
155648,train/clip_fraction,0.12468262016773224
163840,train/clip_fraction,0.13908691704273224
167936,train/clip_fraction,0.12893065810203552
172032,train/clip_fraction,0.13154296576976776
176128,train/clip_fraction,0.13395996391773224
180224,train/clip_fraction,0.14943847060203552
184320,train/clip_fraction,0.12106933444738388
188416,train/clip_fraction,0.10551758110523224
192512,train/clip_fraction,0.1405029296875
196608,train/clip_fraction,0.10629882663488388
200704,train/clip_fraction,0.11044921725988388
204800,train/clip_fraction,0.12363281100988388
208896,train/clip_fraction,0.14082030951976776
212992,train/clip_fraction,0.1312255859375
217088,train/clip_fraction,0.11992187798023224
221184,train/clip_fraction,0.11772461235523224
225280,train/clip_fraction,0.12260742485523224
229376,train/clip_fraction,0.137939453125
233472,train/clip_fraction,0.13955077528953552
237568,train/clip_fraction,0.12675781548023224
241664,train/clip_fraction,0.12924805283546448
245760,train/clip_fraction,0.11894531548023224
249856,train/clip_fraction,0.12900391221046448
253952,train/clip_fraction,0.13845214247703552
258048,train/clip_fraction,0.14743652939796448
262144,train/clip_fraction,0.12990722060203552
266240,train/clip_fraction,0.13798828423023224
270336,train/clip_fraction,0.12612304091453552
274432,train/clip_fraction,0.14182129502296448
278528,train/clip_fraction,0.13508300483226776
282624,train/clip_fraction,0.16523437201976776
286720,train/clip_fraction,0.13115234673023224
290816,train/clip_fraction,0.130126953125
294912,train/clip_fraction,0.14238281548023224
299008,train/clip_fraction,0.12456054985523224
303104,train/clip_fraction,0.17204590141773224
307200,train/clip_fraction,0.12077637016773224
8192,train/clip_range,0.20000000298023224
12288,train/clip_range,0.20000000298023224
16384,train/clip_range,0.20000000298023224
20480,train/clip_range,0.20000000298023224
24576,train/clip_range,0.20000000298023224
28672,train/clip_range,0.20000000298023224
32768,train/clip_range,0.20000000298023224
40960,train/clip_range,0.20000000298023224
45056,train/clip_range,0.20000000298023224
49152,train/clip_range,0.20000000298023224
53248,train/clip_range,0.20000000298023224
57344,train/clip_range,0.20000000298023224
61440,train/clip_range,0.20000000298023224
65536,train/clip_range,0.20000000298023224
69632,train/clip_range,0.20000000298023224
73728,train/clip_range,0.20000000298023224
77824,train/clip_range,0.20000000298023224
81920,train/clip_range,0.20000000298023224
86016,train/clip_range,0.20000000298023224
90112,train/clip_range,0.20000000298023224
94208,train/clip_range,0.20000000298023224
98304,train/clip_range,0.20000000298023224
102400,train/clip_range,0.20000000298023224
106496,train/clip_range,0.20000000298023224
110592,train/clip_range,0.20000000298023224
114688,train/clip_range,0.20000000298023224
118784,train/clip_range,0.20000000298023224
122880,train/clip_range,0.20000000298023224
126976,train/clip_range,0.20000000298023224
131072,train/clip_range,0.20000000298023224
135168,train/clip_range,0.20000000298023224
139264,train/clip_range,0.20000000298023224
143360,train/clip_range,0.20000000298023224
147456,train/clip_range,0.20000000298023224
151552,train/clip_range,0.20000000298023224
155648,train/clip_range,0.20000000298023224
163840,train/clip_range,0.20000000298023224
167936,train/clip_range,0.20000000298023224
172032,train/clip_range,0.20000000298023224
176128,train/clip_range,0.20000000298023224
180224,train/clip_range,0.20000000298023224
184320,train/clip_range,0.20000000298023224
188416,train/clip_range,0.20000000298023224
192512,train/clip_range,0.20000000298023224
196608,train/clip_range,0.20000000298023224
200704,train/clip_range,0.20000000298023224
204800,train/clip_range,0.20000000298023224
208896,train/clip_range,0.20000000298023224
212992,train/clip_range,0.20000000298023224
217088,train/clip_range,0.20000000298023224
221184,train/clip_range,0.20000000298023224
225280,train/clip_range,0.20000000298023224
229376,train/clip_range,0.20000000298023224
233472,train/clip_range,0.20000000298023224
237568,train/clip_range,0.20000000298023224
241664,train/clip_range,0.20000000298023224
245760,train/clip_range,0.20000000298023224
249856,train/clip_range,0.20000000298023224
253952,train/clip_range,0.20000000298023224
258048,train/clip_range,0.20000000298023224
262144,train/clip_range,0.20000000298023224
266240,train/clip_range,0.20000000298023224
270336,train/clip_range,0.20000000298023224
274432,train/clip_range,0.20000000298023224
278528,train/clip_range,0.20000000298023224
282624,train/clip_range,0.20000000298023224
286720,train/clip_range,0.20000000298023224
290816,train/clip_range,0.20000000298023224
294912,train/clip_range,0.20000000298023224
299008,train/clip_range,0.20000000298023224
303104,train/clip_range,0.20000000298023224
307200,train/clip_range,0.20000000298023224
8192,train/entropy_loss,-4.257316589355469
12288,train/entropy_loss,-4.2492475509643555
16384,train/entropy_loss,-4.222189426422119
20480,train/entropy_loss,-4.190764427185059
24576,train/entropy_loss,-4.175018787384033
28672,train/entropy_loss,-4.143078804016113
32768,train/entropy_loss,-4.08400297164917
40960,train/entropy_loss,-4.031343460083008
45056,train/entropy_loss,-4.0248613357543945
49152,train/entropy_loss,-4.020358085632324
53248,train/entropy_loss,-4.012791633605957
57344,train/entropy_loss,-3.9975624084472656
61440,train/entropy_loss,-3.9811432361602783
65536,train/entropy_loss,-3.9640491008758545
69632,train/entropy_loss,-3.9454360008239746
73728,train/entropy_loss,-3.9280922412872314
77824,train/entropy_loss,-3.913898468017578
81920,train/entropy_loss,-3.888868570327759
86016,train/entropy_loss,-3.850254535675049
90112,train/entropy_loss,-3.8004205226898193
94208,train/entropy_loss,-3.732858896255493
98304,train/entropy_loss,-3.660900831222534
102400,train/entropy_loss,-3.5631134510040283
106496,train/entropy_loss,-3.4300787448883057
110592,train/entropy_loss,-3.315629482269287
114688,train/entropy_loss,-3.194974660873413
118784,train/entropy_loss,-3.0773725509643555
122880,train/entropy_loss,-2.957364559173584
126976,train/entropy_loss,-2.8343582153320312
131072,train/entropy_loss,-2.714186429977417
135168,train/entropy_loss,-2.607469081878662
139264,train/entropy_loss,-2.5079309940338135
143360,train/entropy_loss,-2.4087352752685547
147456,train/entropy_loss,-2.31526780128479
151552,train/entropy_loss,-2.221973180770874
155648,train/entropy_loss,-2.1294748783111572
163840,train/entropy_loss,-1.988425850868225
167936,train/entropy_loss,-1.9222054481506348
172032,train/entropy_loss,-1.8541024923324585
176128,train/entropy_loss,-1.7947330474853516
180224,train/entropy_loss,-1.7361756563186646
184320,train/entropy_loss,-1.6799174547195435
188416,train/entropy_loss,-1.640962839126587
192512,train/entropy_loss,-1.6062891483306885
196608,train/entropy_loss,-1.5599051713943481
200704,train/entropy_loss,-1.5147947072982788
204800,train/entropy_loss,-1.4655383825302124
208896,train/entropy_loss,-1.4175760746002197
212992,train/entropy_loss,-1.377833366394043
217088,train/entropy_loss,-1.3354758024215698
221184,train/entropy_loss,-1.2944945096969604
225280,train/entropy_loss,-1.2674317359924316
229376,train/entropy_loss,-1.2285300493240356
233472,train/entropy_loss,-1.2095084190368652
237568,train/entropy_loss,-1.1898139715194702
241664,train/entropy_loss,-1.1381789445877075
245760,train/entropy_loss,-1.1011929512023926
249856,train/entropy_loss,-1.0813385248184204
253952,train/entropy_loss,-1.053259015083313
258048,train/entropy_loss,-1.0218696594238281
262144,train/entropy_loss,-0.9979918599128723
266240,train/entropy_loss,-0.9594017267227173
270336,train/entropy_loss,-0.922023355960846
274432,train/entropy_loss,-0.8841081857681274
278528,train/entropy_loss,-0.8482137322425842
282624,train/entropy_loss,-0.827265202999115
286720,train/entropy_loss,-0.8096343278884888
290816,train/entropy_loss,-0.7727382183074951
294912,train/entropy_loss,-0.7400646209716797
299008,train/entropy_loss,-0.7203938961029053
303104,train/entropy_loss,-0.6973505616188049
307200,train/entropy_loss,-0.6648111939430237
8192,train/explained_variance,-0.013219118118286133
12288,train/explained_variance,-0.005962371826171875
16384,train/explained_variance,0.04581451416015625
20480,train/explained_variance,0.032488346099853516
24576,train/explained_variance,0.03264355659484863
28672,train/explained_variance,0.01255190372467041
32768,train/explained_variance,0.008947014808654785
40960,train/explained_variance,0.022560834884643555
45056,train/explained_variance,0.07809168100357056
49152,train/explained_variance,0.17126679420471191
53248,train/explained_variance,0.24504607915878296
57344,train/explained_variance,0.27328240871429443
61440,train/explained_variance,0.33375728130340576
65536,train/explained_variance,0.3828164339065552
69632,train/explained_variance,0.2951955795288086
73728,train/explained_variance,0.32086730003356934
77824,train/explained_variance,0.23212271928787231
81920,train/explained_variance,0.19338876008987427
86016,train/explained_variance,0.15148228406906128
90112,train/explained_variance,0.04479247331619263
94208,train/explained_variance,0.14842897653579712
98304,train/explained_variance,0.07560628652572632
102400,train/explained_variance,-0.04382467269897461
106496,train/explained_variance,0.04654175043106079
110592,train/explained_variance,0.051074862480163574
114688,train/explained_variance,0.09538626670837402
118784,train/explained_variance,0.1312045454978943
122880,train/explained_variance,0.15337300300598145
126976,train/explained_variance,0.2276594042778015
131072,train/explained_variance,0.28550928831100464
135168,train/explained_variance,0.3438151478767395
139264,train/explained_variance,0.31545501947402954
143360,train/explained_variance,0.37371212244033813
147456,train/explained_variance,0.46115022897720337
151552,train/explained_variance,0.44857895374298096
155648,train/explained_variance,0.47106093168258667
163840,train/explained_variance,0.53680419921875
167936,train/explained_variance,0.5653375387191772
