step,tag,value
4096,rollout/ep_len_mean,45.4942512512207
8192,rollout/ep_len_mean,42.45000076293945
12288,rollout/ep_len_mean,43.099998474121094
16384,rollout/ep_len_mean,42.5099983215332
20480,rollout/ep_len_mean,42.90999984741211
24576,rollout/ep_len_mean,45.79999923706055
28672,rollout/ep_len_mean,43.439998626708984
32768,rollout/ep_len_mean,42.290000915527344
36864,rollout/ep_len_mean,41.25
40960,rollout/ep_len_mean,40.880001068115234
45056,rollout/ep_len_mean,43.72999954223633
49152,rollout/ep_len_mean,39.52000045776367
53248,rollout/ep_len_mean,40.290000915527344
57344,rollout/ep_len_mean,35.369998931884766
61440,rollout/ep_len_mean,34.439998626708984
65536,rollout/ep_len_mean,37.900001525878906
69632,rollout/ep_len_mean,33.029998779296875
73728,rollout/ep_len_mean,32.459999084472656
77824,rollout/ep_len_mean,30.549999237060547
81920,rollout/ep_len_mean,27.270000457763672
86016,rollout/ep_len_mean,24.520000457763672
90112,rollout/ep_len_mean,20.6299991607666
94208,rollout/ep_len_mean,16.549999237060547
98304,rollout/ep_len_mean,16.309999465942383
102400,rollout/ep_len_mean,13.069999694824219
106496,rollout/ep_len_mean,11.760000228881836
110592,rollout/ep_len_mean,11.84000015258789
114688,rollout/ep_len_mean,8.970000267028809
118784,rollout/ep_len_mean,8.4399995803833
122880,rollout/ep_len_mean,7.639999866485596
126976,rollout/ep_len_mean,6.449999809265137
131072,rollout/ep_len_mean,5.550000190734863
135168,rollout/ep_len_mean,5.880000114440918
139264,rollout/ep_len_mean,5.460000038146973
143360,rollout/ep_len_mean,5.03000020980835
147456,rollout/ep_len_mean,4.929999828338623
151552,rollout/ep_len_mean,4.449999809265137
155648,rollout/ep_len_mean,4.570000171661377
159744,rollout/ep_len_mean,4.179999828338623
163840,rollout/ep_len_mean,3.700000047683716
167936,rollout/ep_len_mean,4.21999979019165
172032,rollout/ep_len_mean,4.039999961853027
176128,rollout/ep_len_mean,3.950000047683716
180224,rollout/ep_len_mean,3.509999990463257
184320,rollout/ep_len_mean,3.990000009536743
188416,rollout/ep_len_mean,3.8499999046325684
192512,rollout/ep_len_mean,3.8399999141693115
196608,rollout/ep_len_mean,3.7699999809265137
200704,rollout/ep_len_mean,3.5999999046325684
204800,rollout/ep_len_mean,3.7799999713897705
208896,rollout/ep_len_mean,3.549999952316284
212992,rollout/ep_len_mean,3.7300000190734863
217088,rollout/ep_len_mean,3.4700000286102295
221184,rollout/ep_len_mean,3.5999999046325684
225280,rollout/ep_len_mean,3.559999942779541
229376,rollout/ep_len_mean,3.430000066757202
